'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-06-25 11:55:07:279
'Access specifications
'Access specification name,default assignment
64 KiB; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
65536,100,100,0,0,1,0,0,
'End access specifications
'Results
TimeStamp,'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MBps (Binary),Read MBps (Binary),Write MBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
2018-06-25 11:55:08:339,WORKER,Worker 1,,,,1,15949.8,15949.8,0,996.865,996.865,0,1045.29,1045.29,0,15949.8,0,0.062498,0.062498,0,0.062498,0,2.49153,2.49153,0,2.49153,0,0,0,0,1040121856,0,15871,0,0,-1,3882384,0,3882384,0,9752,0,9752,0,0,0,0,1,,,,,,3.91406e+006,,,,,,13409,969,50,1386,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:09:351,WORKER,Worker 1,,,,1,16098.7,16098.7,0,1006.17,1006.17,0,1055.04,1055.04,0,16098.7,0,0.0619315,0.0619315,0,0.0619315,0,2.69004,2.69004,0,2.69004,0,0,0,0,1067188224,0,16284,0,0,-1,3947302,0,3947302,0,10529,0,10529,0,0,0,0,1,,,,,,3.91406e+006,,,,,,13917,888,48,1380,47,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:10:342,WORKER,Worker 1,,,,1,16080.5,16080.5,0,1005.03,1005.03,0,1053.85,1053.85,0,16080.5,0,0.0620035,0.0620035,0,0.0620035,0,2.24345,2.24345,0,2.24345,0,0,0,0,1045168128,0,15948,0,0,-1,3870351,0,3870351,0,8781,0,8781,0,0,0,0,1,,,,,,3.91406e+006,,,,,,13310,1201,52,1327,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:11:347,WORKER,Worker 1,,,,1,16127.1,16127.1,0,1007.95,1007.95,0,1056.91,1056.91,0,16127.1,0,0.061825,0.061825,0,0.061825,0,1.51939,1.51939,0,1.51939,0,0,0,0,1060962304,0,16189,0,0,-1,3917529,0,3917529,0,5947,0,5947,0,0,0,0,1,,,,,,3.91406e+006,,,,,,13920,758,50,1412,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:17:902,WORKER,Worker 1,,,,1,14489,14489,0,905.56,905.56,0,949.549,949.549,0,14489,0,0.0688325,0.0688325,0,0.0688325,0,3.51681,3.51681,0,3.51681,0,0,0,0,6224019456,0,94971,0,0,-1,25586583,0,25586583,0,13765,0,13765,0,0,0,0,1,,,,,,3.91406e+006,,,,,,77127,8815,645,7597,527,111,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:18:902,WORKER,Worker 1,,,,1,14347.4,14347.4,0,896.715,896.715,0,940.274,940.274,0,14347.4,0,0.0695202,0.0695202,0,0.0695202,0,3.12616,3.12616,0,3.12616,0,0,0,0,940572672,0,14352,0,0,-1,3905271,0,3905271,0,12236,0,12236,0,0,0,0,1,,,,,,3.91406e+006,,,,,,11820,1126,122,1175,65,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:19:910,WORKER,Worker 1,,,,1,8406.73,8406.73,0,525.42,525.42,0,550.943,550.943,0,8406.73,0,0.118722,0.118722,0,0.118722,0,3.19208,3.19208,0,3.19208,0,0,0,0,555679744,0,8479,0,0,-1,3940052,0,3940052,0,12494,0,12494,0,0,0,0,1,,,,,,3.91406e+006,,,,,,4074,2146,336,1841,53,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:20:910,WORKER,Worker 1,,,,1,5991.83,5991.83,0,374.49,374.49,0,392.681,392.681,0,5991.83,0,0.166648,0.166648,0,0.166648,0,2.87016,2.87016,0,2.87016,0,0,0,0,393084928,0,5998,0,0,-1,3912319,0,3912319,0,11234,0,11234,0,0,0,0,1,,,,,,3.91406e+006,,,,,,984,2506,414,2002,68,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:21:913,WORKER,Worker 1,,,,1,6689.17,6689.17,0,418.073,418.073,0,438.382,438.382,0,6689.17,0,0.149309,0.149309,0,0.149309,0,4.16524,4.16524,0,4.16524,0,0,0,0,439156736,0,6701,0,0,-1,3916105,0,3916105,0,16303,0,16303,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2128,1875,467,2154,57,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:22:904,WORKER,Worker 1,,,,1,6251.45,6251.45,0,390.716,390.716,0,409.695,409.695,0,6251.45,0,0.159687,0.159687,0,0.159687,0,4.2263,4.2263,0,4.2263,0,0,0,0,405667840,0,6190,0,0,-1,3868914,0,3868914,0,16542,0,16542,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1226,2479,397,1997,68,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
